ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes
NHSBG0227627,AAGJE,NHSB G0 227627,,,F,,,,,,,,,1957,5,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,NHSB G1 363579,,,F,,NHSBG0227627,AAGJE,,,,,,1965,4,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2456237,BERTINA FEN DE ALDE SLÛS,NHSB G2 456237,,,F,,NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,,,,1968,9,18,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2713141,ASTRID,NHSB G2 713141,,,F,,NHSBG2456237,BERTINA FEN DE ALDE SLÛS,,,,,,1974,1,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2713140,CHEETAH,NHSB G2 713140,,,F,,NHSBG2456237,BERTINA FEN DE ALDE SLÛS,,,,,,1974,1,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958270,CHEETAH,NHSB 958270,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958273,CITA,NHSB 958273,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958272,SANTINA,NHSB 958272,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958271,TRIX,NHSB 958271,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283735,DOESKA,NHSB 1283735,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283734,FLIPPER,NHSB 1283734,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283737,JUNO,NHSB 1283737,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1439980,SANDRA,NHSB 1439980,,,F,,NHSB1283737,JUNO,,,,,,1985,9,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1439981,TASJA,NHSB 1439981,,,F,,NHSB1283737,JUNO,,,,,,1985,9,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1439982,ZASJA,NHSB 1439982,,,F,,NHSB1283737,JUNO,,,,,,1985,9,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283736,ROZA,NHSB 1283736,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1148321,SIETSKE,NHSB 1148321,,,F,,NHSB958271,TRIX,,,,,,1981,1,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299729,FEMKE,NHSB 1299729,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299727,FRIEDA,NHSB 1299727,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299728,SINDY,NHSB 1299728,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299726,VERA,NHSB 1299726,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
