ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes
NHSBG0227627,NHSB G0 227627,AAGJE,,,F,,,,,,,,,1957,5,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1363579,NHSB G1 363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,F,,NHSBG0227627,AAGJE,,,,,,1965,4,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2456237,NHSB G2 456237,BERTINA FEN DE ALDE SLÛS,,,F,,NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,,,,1968,9,18,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2713141,NHSB G2 713141,ASTRID,,,F,,NHSBG2456237,BERTINA FEN DE ALDE SLÛS,,,,,,1974,1,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2713140,NHSB G2 713140,CHEETAH,,,F,,NHSBG2456237,BERTINA FEN DE ALDE SLÛS,,,,,,1974,1,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958270,NHSB 958270,CHEETAH,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958273,NHSB 958273,CITA,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958272,NHSB 958272,SANTINA,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958271,NHSB 958271,TRIX,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283735,NHSB 1283735,DOESKA,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283734,NHSB 1283734,FLIPPER,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283737,NHSB 1283737,JUNO,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1439980,NHSB 1439980,SANDRA,,,F,,NHSB1283737,JUNO,,,,,,1985,9,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1439981,NHSB 1439981,TASJA,,,F,,NHSB1283737,JUNO,,,,,,1985,9,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1439982,NHSB 1439982,ZASJA,,,F,,NHSB1283737,JUNO,,,,,,1985,9,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283736,NHSB 1283736,ROZA,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1148321,NHSB 1148321,SIETSKE,,,F,,NHSB958271,TRIX,,,,,,1981,1,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299729,NHSB 1299729,FEMKE,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299727,NHSB 1299727,FRIEDA,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299728,NHSB 1299728,SINDY,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1299726,NHSB 1299726,VERA,,,F,,NHSB1148321,SIETSKE,,,,,,1983,8,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2713142,NHSB G2 713142,TURK,,,F,,NHSBG2456237,BERTINA FEN DE ALDE SLÛS,,,,,,1974,1,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2456236,NHSB G2 456236,OEDSKE FEN DE ALDE SLÛS,,,F,,NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,,,,1968,9,18,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2456238,NHSB G2 456238,REMKE FEN DE ALDE SLÛS,,,F,,NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,,,,1968,9,18,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2456235,NHSB G2 456235,TRIX FEN DE ALDE SLÛS,,,F,,NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,,,,1968,9,18,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2638639,NHSB G2 638639,CASTA,,,F,,NHSBG2456235,TRIX FEN DE ALDE SLÛS,,,,,,1973,1,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2638638,NHSB G2 638638,ELSKE,,,F,,NHSBG2456235,TRIX FEN DE ALDE SLÛS,,,,,,1973,1,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB776081,NHSB 776081,BLIJKE,,,F,,NHSBG2638638,ELSKE,,,,,,1974,11,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1042870,NHSB 1042870,CRISSY,,,F,,NHSBG2638638,ELSKE,,,,,,1978,8,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1075588,NHSB 1075588,BELINDA,,,F,,NHSB1042870,CRISSY,,,,,,1979,6,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1151121,NHSB 1151121,BIJKE,,,F,,NHSB1042870,CRISSY,,,,,,1981,1,15,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1151122,NHSB 1151122,BOBBY,,,F,,NHSB1042870,CRISSY,,,,,,1981,1,15,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1310366,NHSB 1310366,CINTA,,,F,,NHSB1042870,CRISSY,,,,,,1983,12,24,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1284351,NHSB 1284351,DONNA,,,F,,NHSB1042870,CRISSY,,,,,,1983,5,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1426650,NHSB 1426650,ANOESKA,,,F,,NHSB1284351,DONNA,,,,,,1985,7,13,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1426649,NHSB 1426649,BELLA,,,F,,NHSB1284351,DONNA,,,,,,1985,7,13,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1426646,NHSB 1426646,SABO,,,F,,NHSB1284351,DONNA,,,,,,1985,7,13,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1426644,NHSB 1426644,TIMMY,,,F,,NHSB1284351,DONNA,,,,,,1985,7,13,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1426647,NHSB 1426647,TRYA,,,F,,NHSB1284351,DONNA,,,,,,1985,7,13,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1426648,NHSB 1426648,TURBO,,,F,,NHSB1284351,DONNA,,,,,,1985,7,13,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1426645,NHSB 1426645,YOERI,,,F,,NHSB1284351,DONNA,,,,,,1985,7,13,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1310364,NHSB 1310364,FEM,,,F,,NHSB1042870,CRISSY,,,,,,1983,12,24,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1210920,NHSB 1210920,FLOORTJE,,,F,,NHSB1042870,CRISSY,,,,,,1982,3,14,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1151123,NHSB 1151123,JIS,,,F,,NHSB1042870,CRISSY,,,,,,1981,1,15,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1310365,NHSB 1310365,NORA,,,F,,NHSB1042870,CRISSY,,,,,,1983,12,24,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1284353,NHSB 1284353,STABY,,,F,,NHSB1042870,CRISSY,,,,,,1983,5,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1284354,NHSB 1284354,TIMY,,,F,,NHSB1042870,CRISSY,,,,,,1983,5,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1075589,NHSB 1075589,TRIXY,,,F,,NHSB1042870,CRISSY,,,,,,1979,6,16,,,,,,,,,,,,,,,,,,,,,,,,
