ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes
NHSBG0227627,,AAGJE,,,F,,,,,,,,,1957,5,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1363579,,ADRIAANTSJE FEN DE ALDE SLÛS,,,F,,NHSBG0227627,AAGJE,,,,,,1965,4,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2456237,,BERTINA FEN DE ALDE SLÛS,,,F,,NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,,,,1968,9,18,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2713140,,CHEETAH,,,F,,NHSBG2456237,BERTINA FEN DE ALDE SLÛS,,,,,,1974,1,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSB958271,,TRIX,,,F,,NHSBG2713140,CHEETAH,,,,,,1977,6,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1283737,,JUNO,,,F,,NHSB958271,TRIX,,,,,,1983,7,20,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1148321,,SIETSKE,,,F,,NHSB958271,TRIX,,,,,,1981,1,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2456235,,TRIX FEN DE ALDE SLÛS,,,F,,NHSBG1363579,ADRIAANTSJE FEN DE ALDE SLÛS,,,,,,1968,9,18,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2638638,,ELSKE,,,F,,NHSBG2456235,TRIX FEN DE ALDE SLÛS,,,,,,1973,1,5,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1042870,,CRISSY,,,F,,NHSBG2638638,ELSKE,,,,,,1978,8,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1284351,,DONNA,,,F,,NHSB1042870,CRISSY,,,,,,1983,5,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1075589,,TRIXY,,,F,,NHSB1042870,CRISSY,,,,,,1979,6,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSB776084,,NYNKE,,,F,,NHSBG2638638,ELSKE,,,,,,1974,11,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1288848,,ALEGONDA,,,F,,NHSBG0227627,AAGJE,,,,,,1962,2,17,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2485179,,DUTCHY,,,F,,NHSBG1288848,ALEGONDA,,,,,,1969,8,19,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2661858,,BIJKE,,,F,,NHSBG2485179,DUTCHY,,,,,,1973,2,25,,,,,,,,,,,,,,,,,,,,,,,,
NHSB911314,,BENNY,,,F,,NHSBG2661858,BIJKE,,,,,,1976,6,11,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2661860,,GRITTA,,,F,,NHSBG2485179,DUTCHY,,,,,,1973,2,25,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2440136,,KOERIER,,,F,,NHSBG1288848,ALEGONDA,,,,,,1968,5,22,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2542145,,ODA,,,F,,NHSBG2440136,KOERIER,,,,,,1971,2,7,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1082660,,ASTRID,,,F,,NHSBG2542145,ODA,,,,,,1979,10,19,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1118517,,SINDY,,,F,,NHSBG2542145,ODA,,,,,,1980,7,7,,,,,,,,,,,,,,,,,,,,,,,,
NHSB1431114,,MOLLY,,,F,,NHSB1118517,SINDY,,,,,,1985,9,29,,,,,,,,,,,,,,,,,,,,,,,,
NHSB2103288,,CINDY,,,F,,NHSB1431114,MOLLY,,,,,,1996,8,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSB2367935,,BUSH,,,F,,NHSB2103288,CINDY,,,,,,2001,10,7,,,,,,,,,,,,,,,,,,,,,,,,
NHSB2367932,,BYOUX,,,F,,NHSB2103288,CINDY,,,,,,2001,10,7,,,,,,,,,,,,,,,,,,,,,,,,
NHSB2486794,,NORA,,,F,,NHSB2103288,CINDY,,,,,,2003,12,15,,,,,,,,,,,,,,,,,,,,,,,,
NHSB2635264,,TJITSKE,,,F,,NHSB2486794,NORA,,,,,,2006,12,6,,,,,,,,,,,,,,,,,,,,,,,,
NHSB2819351,,SQUEEZE PLAY BO FAEMKE,,,F,,NHSB2635264,TJITSKE,,,,,,2010,12,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSB3039354,,SQUEEZE PLAY POPKJE BRANCKO,,,F,,NHSB2819351,SQUEEZE PLAY BO FAEMKE,,,,,,2016,4,2,,,,,,,,,,,,,,,,,,,,,,,,
NHSB3161508,,ANJA,,,F,,NHSB3039354,SQUEEZE PLAY POPKJE BRANCKO,,,,,,2019,6,4,,,,,,,,,,,,,,,,,,,,,,,,
NHSB3161511,,TOULA,,,F,,NHSB3039354,SQUEEZE PLAY POPKJE BRANCKO,,,,,,2019,6,4,,,,,,,,,,,,,,,,,,,,,,,,
DK119752011,,SQUEEZE PLAY BO TJITSKE,,,F,,NHSB2635264,TJITSKE,,,,,,2010,12,1,,,,,,,,,,,,,,,,,,,,,,,,
DK194902016,,RØGILD'S LYTSKE TJITSKE FRYTZE,,,F,,DK119752011,SQUEEZE PLAY BO TJITSKE,,,,,,2016,11,8,,,,,,,,,,,,,,,,,,,,,,,,
FI4036019,,MALENTHAS ADELAISA VENDICCI,,,F,,DK194902016,RØGILD'S LYTSKE TJITSKE FRYTZE,,,,,,2019,4,4,,,,,,,,,,,,,,,,,,,,,,,,
