ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes
VR14,,AUKJE,VR 14,,F,,,,,,,,,1940,1,1,,,,,,,,,,,,,,,,,,,,,,,,
VR21,,BEITSKE,VR 21,,F,,,,,,,,,1943,1,1,,,,,,,,,,,,,,,,,,,,,,,,
VR20,,WARDY,VR 20,,F,,,,,,,,,1943,1,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG0136832,,AAGJE FEN'T HOUNEHIEM,NHSB G0 136832,,F,,VR14,AUKJE,,,,,,1943,3,10,,,,,,,,,,,,,,,,,,,,,,,,
VR11,,AALTJE FEN'T HOUNEHIEM,VR 11,,F,,VR14,AUKJE,,,,,,1943,3,10,,,,,,,,,,,,,,,,,,,,,,,,
VR28,,BEIKE,VR 28,,F,,,,,,,,,1944,1,1,,,,,,,,,,,,,,,,,,,,,,,,
NIETGEREG4,,TREFFIE,,,F,,,,,,,,,1944,1,1,,,,,,,,,,,,,,,,,,,,,,,,
NIETGEREG2,,STABY,,,F,,,,,,,,,1944,5,5,,,,,,,,,,,,,,,,,,,,,,,,
VR86,,BAUNDINE,VR 86,,F,,,,,,,,,1945,1,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1136835,,BEKE,NHSB G1 136835,,F,,VR21,BEITSKE,,,,,,1945,11,6,,,,,,,,,,,,,,,,,,,,,,,,
VR64,,STABEE,VR 64,,F,,,,,,,,,1946,1,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2136828,,DETSJE,NHSB G2 136828,,F,,NHSBG0136832,AAGJE FEN'T HOUNEHIEM,,,,,,1946,6,19,,,,,,,,,,,,,,,,,,,,,,,,
VR73,,DIEUWKE,VR 73,,F,,NHSBG0136832,AAGJE FEN'T HOUNEHIEM,,,,,,1946,6,19,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG0136826,,MARBRE FEN'T WETTERLÂN,NHSB G0 136826,,F,,NIETGEREG4,TREFFIE,,,,,,1946,7,3,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2136831,,JANNIGJE,NHSB G2 136831,,F,,VR86,BAUNDINE,,,,,,1947,5,19,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2136837,,AAGJE,NHSB G2 136837,,F,,VR73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2136838,,AALTJE,NHSB G2 136838,,F,,VR73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2136961,,AFKE,NHSB G2 136961,,F,,VR73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2136839,,AUKJE,NHSB G2 136839,,F,,VR73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1136843,,FAMKE FEN'T WETTERLÂN,,,F,,VR64,STABEE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
NHSB147240,,MEM FEN'T WETTERLÂN,,,F,,NIETGEREG4,TREFFIE,,,,,,1948,12,12,,,,,,,,,,,,,,,,,,,,,,,,
NHSB147241,,NIENKA FEN'T WETTERLÂN,,,F,,NIETGEREG4,TREFFIE,,,,,,1948,12,12,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1149146,,JAPKE FEN'T WETTERLÂN,,,F,,NHSB147241,NIENKA FEN'T WETTERLÂN,,,,,,1951,4,2,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG0227621,,BOBBY,,,F,,,,,,,,,1952,1,1,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1161338,,AALTSJE,,,F,,NHSB147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1161336,,ALBERDINA,,,F,,NHSB147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1161337,,LEX,,,F,,NHSB147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1161335,,RIXT,,,F,,NHSB147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG0253630,,AUTGERTSJE,,,F,,,,,,,,,1954,11,3,,,,,,,,,,,,,,,,,,,,,,,,
