ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes
AUKJE - VR 14,AUKJE,,,,F,,,,,,,,,1940,1,1,,,,,,,,,,,,,,,,,,,,,,,,
BEITSKE - VR 21,BEITSKE,,,,F,,,,,,,,,1943,1,1,,,,,,,,,,,,,,,,,,,,,,,,
WARDY - VR 20,WARDY,,,,F,,,,,,,,,1943,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AAGJE FEN'T HOUNEHIEM - NHSB G0 136832,AAGJE FEN'T HOUNEHIEM,,,,F,,AUKJE - VR 14,AUKJE,,,,,,1943,3,10,,,,,,,,,,,,,,,,,,,,,,,,
AALTJE FEN'T HOUNEHIEM - VR 11,AALTJE FEN'T HOUNEHIEM,,,,F,,AUKJE - VR 14,AUKJE,,,,,,1943,3,10,,,,,,,,,,,,,,,,,,,,,,,,
BEIKE - VR 28,BEIKE,,,,F,,,,,,,,,1944,1,1,,,,,,,,,,,,,,,,,,,,,,,,
TREFFIE - NIET GEREG. 4,TREFFIE,,,,F,,,,,,,,,1944,1,1,,,,,,,,,,,,,,,,,,,,,,,,
STABY - NIET GEREG. 2,STABY,,,,F,,,,,,,,,1944,5,5,,,,,,,,,,,,,,,,,,,,,,,,
BAUNDINE - VR 86,BAUNDINE,,,,F,,,,,,,,,1945,1,1,,,,,,,,,,,,,,,,,,,,,,,,
BEKE - NHSB G1 136835,BEKE,,,,F,,BEITSKE - VR 21,BEITSKE,,,,,,1945,11,6,,,,,,,,,,,,,,,,,,,,,,,,
STABEE - VR 64,STABEE,,,,F,,,,,,,,,1946,1,1,,,,,,,,,,,,,,,,,,,,,,,,
DETSJE - NHSB G2 136828,DETSJE,,,,F,,AAGJE FEN'T HOUNEHIEM - NHSB G0 136832,AAGJE FEN'T HOUNEHIEM,,,,,,1946,6,19,,,,,,,,,,,,,,,,,,,,,,,,
DIEUWKE - VR 73,DIEUWKE,,,,F,,AAGJE FEN'T HOUNEHIEM - NHSB G0 136832,AAGJE FEN'T HOUNEHIEM,,,,,,1946,6,19,,,,,,,,,,,,,,,,,,,,,,,,
MARBRE FEN'T WETTERLÂN - NHSB G0 136826,MARBRE FEN'T WETTERLÂN,,,,F,,TREFFIE - NIET GEREG. 4,TREFFIE,,,,,,1946,7,3,,,,,,,,,,,,,,,,,,,,,,,,
JANNIGJE - NHSB G2 136831,JANNIGJE,,,,F,,BAUNDINE - VR 86,BAUNDINE,,,,,,1947,5,19,,,,,,,,,,,,,,,,,,,,,,,,
AAGJE - NHSB G2 136837,AAGJE,,,,F,,DIEUWKE - VR 73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
AALTJE - NHSB G2 136838,AALTJE,,,,F,,DIEUWKE - VR 73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
AFKE - NHSB G2 136961,AFKE,,,,F,,DIEUWKE - VR 73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
AUKJE - NHSB G2 136839,AUKJE,,,,F,,DIEUWKE - VR 73,DIEUWKE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
FAMKE FEN'T WETTERLÂN - NHSB G1 136843,FAMKE FEN'T WETTERLÂN,,,,F,,STABEE - VR 64,STABEE,,,,,,1948,8,17,,,,,,,,,,,,,,,,,,,,,,,,
MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,F,,TREFFIE - NIET GEREG. 4,TREFFIE,,,,,,1948,12,12,,,,,,,,,,,,,,,,,,,,,,,,
NIENKA FEN'T WETTERLÂN - NHSB 147241,NIENKA FEN'T WETTERLÂN,,,,F,,TREFFIE - NIET GEREG. 4,TREFFIE,,,,,,1948,12,12,,,,,,,,,,,,,,,,,,,,,,,,
JAPKE FEN'T WETTERLÂN - NHSB G1 149146,JAPKE FEN'T WETTERLÂN,,,,F,,NIENKA FEN'T WETTERLÂN - NHSB 147241,NIENKA FEN'T WETTERLÂN,,,,,,1951,4,2,,,,,,,,,,,,,,,,,,,,,,,,
BOBBY - NHSB G0 227621,BOBBY,,,,F,,,,,,,,,1952,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AALTSJE - NHSB G1 161338,AALTSJE,,,,F,,MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
ALBERDINA - NHSB G1 161336,ALBERDINA,,,,F,,MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
LEX - NHSB G1 161337,LEX,,,,F,,MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
RIXT - NHSB G1 161335,RIXT,,,,F,,MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,,,1953,6,28,,,,,,,,,,,,,,,,,,,,,,,,
AUTGERTSJE - NHSB G0 253630,AUTGERTSJE,,,,F,,,,,,,,,1954,11,3,,,,,,,,,,,,,,,,,,,,,,,,
NIENKE - NHSB G0 227625,NIENKE,,,,F,,,,,,,,,1955,1,1,,,,,,,,,,,,,,,,,,,,,,,,
GRACE - NHSB G1 176652,GRACE,,,,F,,MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,,,1955,6,30,,,,,,,,,,,,,,,,,,,,,,,,
AISJE - NHSB G0 250784,AISJE,,,,F,,,,,,,,,1956,1,1,,,,,,,,,,,,,,,,,,,,,,,,
HERTHA - NHSB G0 227624,HERTHA,,,,F,,,,,,,,,1956,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AEFKE - NHSB G0 250277,AEFKE,,,,F,,,,,,,,,1956,5,1,,,,,,,,,,,,,,,,,,,,,,,,
ALEMKE - NHSB G0 250782,ALEMKE,,,,F,,,,,,,,,1956,9,18,,,,,,,,,,,,,,,,,,,,,,,,
ABICHJE - NIET GEREG. 5,ABICHJE,,,,F,,,,,,,,,1957,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AELTKE - NHSB G0 227622,AELTKE,,,,F,,,,,,,,,1957,1,1,,,,,,,,,,,,,,,,,,,,,,,,
CORA - NIET GEREG. 3,CORA,,,,F,,,,,,,,,1957,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AAGJE - NHSB G0 227627,AAGJE,,,,F,,,,,,,,,1957,5,1,,,,,,,,,,,,,,,,,,,,,,,,
AERTSJE - NHSB G0 253275,AERTSJE,,,,F,,,,,,,,,1958,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AEKJE - NHSB G0 250781,AEKJE,,,,F,,,,,,,,,1958,4,1,,,,,,,,,,,,,,,,,,,,,,,,
ADELHEIT - NHSB G0 250780,ADELHEIT,,,,F,,,,,,,,,1958,9,1,,,,,,,,,,,,,,,,,,,,,,,,
IEFKE - NHSB G1 227631,IEFKE,,,,F,,MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,,,1958,10,9,,,,,,,,,,,,,,,,,,,,,,,,
MIJKE - NHSB G1 227632,MIJKE,,,,F,,MEM FEN'T WETTERLÂN - NHSB 147240,MEM FEN'T WETTERLÂN,,,,,,1958,10,9,,,,,,,,,,,,,,,,,,,,,,,,
AUKJE - NHSB G0 227623,AUKJE,,,,F,,,,,,,,,1958,11,30,,,,,,,,,,,,,,,,,,,,,,,,
FLOKJE - NHSB G0 273919,FLOKJE,,,,F,,,,,,,,,1959,1,1,,,,,,,,,,,,,,,,,,,,,,,,
PEDDY - NHSB G0 273918,PEDDY,,,,F,,,,,,,,,1959,1,1,,,,,,,,,,,,,,,,,,,,,,,,
POAIJ - NHSB G0 251506,POAIJ,,,,F,,ABICHJE - NIET GEREG. 5,ABICHJE,,,,,,1959,3,17,,,,,,,,,,,,,,,,,,,,,,,,
ELSKE - NHSB G1 228967,ELSKE,,,,F,,NIENKE - NHSB G0 227625,NIENKE,,,,,,1959,3,23,,,,,,,,,,,,,,,,,,,,,,,,
FREUKJE - NHSB G0 275750,FREUKJE,,,,F,,,,,,,,,1959,5,1,,,,,,,,,,,,,,,,,,,,,,,,
AETKE - NHSB G1 230194,AETKE,,,,F,,AELTKE - NHSB G0 227622,AELTKE,,,,,,1959,9,18,,,,,,,,,,,,,,,,,,,,,,,,
AETSKE - NHSB G1 230196,AETSKE,,,,F,,AELTKE - NHSB G0 227622,AELTKE,,,,,,1959,9,18,,,,,,,,,,,,,,,,,,,,,,,,
SHABY - NHSB G1 230197,SHABY,,,,F,,AELTKE - NHSB G0 227622,AELTKE,,,,,,1959,9,18,,,,,,,,,,,,,,,,,,,,,,,,
STABIE - NHSB G1 230195,STABIE,,,,F,,AELTKE - NHSB G0 227622,AELTKE,,,,,,1959,9,18,,,,,,,,,,,,,,,,,,,,,,,,
BIEUKE - NHSB G0 275236,BIEUKE,,,,F,,,,,,,,,1959,10,1,,,,,,,,,,,,,,,,,,,,,,,,
AECHJE - NHSB G0 250275,AECHJE,,,,F,,CORA - NIET GEREG. 3,CORA,,,,,,1959,10,13,,,,,,,,,,,,,,,,,,,,,,,,
AELTSJE - NHSB G0 250276,AELTSJE,,,,F,,CORA - NIET GEREG. 3,CORA,,,,,,1959,10,13,,,,,,,,,,,,,,,,,,,,,,,,
AMKJE - NHSB G0 250783,AMKJE,,,,F,,CORA - NIET GEREG. 3,CORA,,,,,,1959,10,13,,,,,,,,,,,,,,,,,,,,,,,,
NELLY - NHSB G1 228891,NELLY,,,,F,,BOBBY - NHSB G0 227621,BOBBY,,,,,,1959,10,16,,,,,,,,,,,,,,,,,,,,,,,,
SOFIA - NHSB G1 228892,SOFIA,,,,F,,BOBBY - NHSB G0 227621,BOBBY,,,,,,1959,10,16,,,,,,,,,,,,,,,,,,,,,,,,
